open,high,low,close,tick_volume,spread,real_volume
1.08782,1.08782,1.0878,1.08781,14,4,0
1.08781,1.08784,1.08781,1.08782,16,4,0
1.08782,1.08783,1.08777,1.08781,11,4,0
1.08783,1.08784,1.08781,1.08783,15,4,0
1.08783,1.08784,1.08782,1.08784,17,4,0
1.08784,1.08784,1.08782,1.08783,6,4,0
1.08784,1.08786,1.08782,1.08786,9,4,0
1.08788,1.08788,1.0878700000000001,1.08788,15,4,0
1.0878700000000001,1.08788,1.0878700000000001,1.0878700000000001,3,4,0
1.0878700000000001,1.08788,1.0878700000000001,1.0878700000000001,5,4,0
1.0878700000000001,1.08788,1.0878700000000001,1.0878700000000001,3,4,0
1.0878700000000001,1.08788,1.08782,1.08782,11,4,0
1.08783,1.08784,1.08783,1.08783,7,4,0
1.08784,1.08784,1.08783,1.08783,10,4,0
1.08783,1.08784,1.08782,1.08783,7,4,0
1.08783,1.08784,1.08782,1.08783,7,4,0
1.08783,1.08784,1.08779,1.08779,5,4,0
1.08778,1.08779,1.08777,1.08777,6,4,0
1.08777,1.08777,1.08776,1.08777,7,4,0
1.08777,1.08777,1.08777,1.08777,1,4,0
1.08777,1.08777,1.08774,1.08774,5,4,0
1.08774,1.08777,1.08774,1.08777,7,4,0
1.08777,1.08777,1.08772,1.08773,8,1,0
1.08774,1.08774,1.08773,1.08773,10,4,0
1.08774,1.08779,1.08772,1.08777,22,4,0
1.08777,1.08781,1.08776,1.08778,9,4,0
1.08778,1.0878,1.08777,1.08778,11,4,0
1.08778,1.08778,1.08773,1.08773,8,4,0
1.08773,1.08774,1.08772,1.08772,8,4,0
1.08774,1.08774,1.08768,1.08769,8,0,0
1.08769,1.08773,1.08768,1.08773,12,4,0
1.08773,1.08774,1.08771,1.08773,13,4,0
1.08773,1.08774,1.08772,1.08772,6,4,0
1.08772,1.08772,1.08763,1.08763,15,4,0
1.08764,1.08772,1.08763,1.08769,13,4,0
1.08769,1.08774,1.08769,1.08771,13,4,0
1.08772,1.08774,1.08768,1.08768,8,4,0
1.08768,1.08769,1.08768,1.08768,11,1,0
1.08769,1.08771,1.08765,1.08771,15,0,0
1.08771,1.08774,1.08771,1.08771,13,0,0
1.08772,1.08774,1.08767,1.08772,17,4,0
1.08772,1.08778,1.08771,1.08777,15,4,0
1.08777,1.08777,1.08772,1.08772,10,4,0
1.08772,1.08774,1.0877,1.08773,12,4,0
1.08772,1.08779,1.08772,1.08774,14,4,0
1.08774,1.08774,1.08757,1.08758,11,4,0
1.08758,1.08758,1.08756,1.08758,9,4,0
1.08759,1.08762,1.08756,1.08757,8,4,0
1.08757,1.08761,1.08756,1.08756,8,4,0
1.08756,1.08757,1.08751,1.08752,7,4,0
1.08752,1.08756,1.08752,1.08756,7,4,0
1.08757,1.08758,1.08756,1.08756,4,4,0
1.08757,1.08761,1.08756,1.08761,7,4,0
